SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.0,39,0,0.371155885,6600.0,6,0,1,0,3.0
0,0.047902116,69,1,2988.0,0.0,9,0,2,0,0.0
0,0.00583101,88,0,0.001945924,9763.0,8,0,0,0,0.0
0,0.0,62,0,0.459369392,3900.0,7,0,1,0,1.0
0,0.0,48,0,0.225303293,7500.0,14,0,2,0,1.0
0,0.131600211,63,0,0.576325656,5600.0,28,0,2,0,0.0
0,0.9999999,45,0,4.026973027,1000.0,4,0,1,0,2.0
0,0.9999999,61,0,0.537615596,4000.0,4,0,2,0,0.0
0,0.023990404,30,0,0.466133467,4000.0,4,0,1,0,0.0
0,0.736880651,47,0,0.184975003,7400.0,9,0,0,0,0.0
0,0.032710756,58,0,0.210235495,7600.0,4,0,1,0,1.0
0,0.9999999,36,2,0.192576818,3286.0,4,1,0,0,2.0
0,0.024304327,67,0,0.007529379,14210.0,11,0,0,0,0.0
0,0.003450771,50,0,0.164823862,11666.0,10,0,2,0,0.0
0,0.012936297,56,0,0.270328876,8300.0,13,0,1,0,0.0
0,0.018493683,32,0,0.028942116,9017.0,7,0,0,0,0.0
0,0.0,57,0,0.0,9000.0,3,0,0,0,0.0
0,0.329317071,64,2,0.07840992,2741.0,9,0,0,1,0.0
0,0.930350301,57,0,0.611093196,3100.0,8,0,1,1,0.0
0,0.050283119,51,0,0.224629228,6000.0,12,0,1,0,2.0
1,1.006605963,40,4,0.226930838,5450.0,13,0,0,1,2.0
0,0.151489316,33,0,0.283659166,5421.0,11,0,0,0,0.0
0,0.025474142,35,0,0.014968656,160000.0,21,0,1,0,2.0
0,0.028406355,81,0,0.006766696,3398.0,5,0,0,0,0.0
0,0.013215789,70,0,0.187798193,9850.0,18,0,1,0,0.0
0,0.009861663,26,0,0.681045752,764.0,8,1,0,0,0.0
0,0.134167787,59,0,0.203145594,11380.0,7,0,1,0,1.0
0,0.271553519,28,0,0.218030932,2650.0,2,0,0,0,0.0
0,0.9999999,49,1,0.471867612,2114.0,3,0,1,1,2.0
0,0.9999999,62,0,0.0,3453.0,0,0,0,0,0.0
0,0.009176201,63,0,0.01726488,2200.0,7,0,1,0,0.0
0,0.815133028,66,1,0.541729135,2000.0,5,0,0,0,1.0
0,0.9999999,56,1,0.425952926,4800.0,2,0,1,0,0.0
1,0.359657148,45,0,0.846314988,5250.0,9,0,2,0,0.0
0,0.0,71,0,1.273368607,2267.0,9,0,2,0,0.0
0,0.156777014,25,0,0.073094868,4500.0,2,0,0,0,0.0
1,0.087680355,39,0,0.104904952,4260.0,4,0,0,1,3.0
0,0.155773466,51,0,1.41943734,4300.0,17,0,5,0,1.0
